_id,userId,certificateId,certificateName,description,issuingAuthority,issueDate,validityPeriodMonths,supportedDocumentLink,createdAt,updatedAt,__v
845137521b6342b2b9825faa,66080b1eb85746ebc7e4064f,5641,middle,Star serious method order husband simply political let.,"Munoz, Cruz and Brady",2023-12-17T12:42:03.878007Z,6,https://www.henson.com/,2024-04-07T12:42:03.878007Z,2024-04-07T12:42:03.878007Z,0
e94538677d4a4b6aa3f7956d,66080b1eb85746ebc7e4064f,5799,back,Language statement southern threat owner.,Ayers Group,2023-06-23T12:42:03.878007Z,19,http://blackwell-reynolds.com/,2024-04-07T12:42:03.878007Z,2024-04-07T12:42:03.878007Z,0
12c50984e7e241e58ba4284c,66080b1eb85746ebc7e4064f,1281,action,Physical reduce window forget leave actually.,Pierce-Hunter,2023-08-23T12:42:03.878007Z,25,http://white.info/,2024-04-07T12:42:03.879118Z,2024-04-07T12:42:03.879118Z,0
7103cc2662104f7880867803,66080b98b85746ebc7e40654,3861,remember,Significant prepare deal win ready speak participant industry.,Zhang-Brown,2024-02-20T12:42:03.879118Z,38,https://peterson-smith.info/,2024-04-07T12:42:03.879118Z,2024-04-07T12:42:03.879118Z,0
cc4c635cd72b48c5b7142819,66080b98b85746ebc7e40654,6496,agent,Difference book suffer.,Thompson-Murillo,2023-08-27T12:42:03.879118Z,39,https://davis.com/,2024-04-07T12:42:03.879118Z,2024-04-07T12:42:03.879118Z,0
d32b2f5e7fe947abae0f1d76,66080b98b85746ebc7e40654,6140,force,Sense change your whole ever shoulder work technology.,Cuevas-Porter,2024-04-03T12:42:03.879118Z,22,http://nguyen-wells.biz/,2024-04-07T12:42:03.879118Z,2024-04-07T12:42:03.879118Z,0
4f7e8319a3d547fdb3fee49f,660c44e1031dafee85d11d05,8762,exist,Five better different Mr.,Edwards Group,2023-07-06T12:42:03.879118Z,9,http://www.manning.com/,2024-04-07T12:42:03.880122Z,2024-04-07T12:42:03.880122Z,0
8a6a1d091ccf4aef902aed49,660c44e1031dafee85d11d05,5331,gun,Type final affect pay.,"Owens, Rivera and Dunn",2023-10-30T12:42:03.880122Z,35,https://www.powers.com/,2024-04-07T12:42:03.880122Z,2024-04-07T12:42:03.880122Z,0
eec814b685f640648ee0b762,660ce9075e2974cbb6329329,3820,nation,Record return else without.,Zamora-Brown,2023-04-15T12:42:03.880122Z,18,https://www.jones-murray.com/,2024-04-07T12:42:03.880122Z,2024-04-07T12:42:03.880122Z,0
b94df3748da949fdba70e8c1,660ce9075e2974cbb6329329,3995,continue,Act raise rate send why.,"Curtis, Mathews and Robinson",2023-08-11T12:42:03.880122Z,13,https://www.mendoza-brown.com/,2024-04-07T12:42:03.881096Z,2024-04-07T12:42:03.881096Z,0
