_id,userId,skillId,certificateId,proficiency,status,hackerRankScore,createdAt,updatedAt,projectExperienceId,approverDetailId
458a8162548142e9b7dae663,66129481addf941b98f24d23,660f8821a2c1cc29e41e1824,d1f2bb30ed4d4217bd91f925,intermediate,Verified,45,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,13f94ade448c4e7c9ad05442,fd7d100f15414f8ca6c774ab
9d7a126848dd4e93a2286aee,66129474addf941b98f24c56,660f87fda2c1cc29e41e180f,,beginner,Verified,10,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,2d6f339412a44562a5b92cd4
0e693ec1ea4547f798b24522,66129489addf941b98f24da9,660f881ca2c1cc29e41e1821,2fd8074c803b4849940e7630,intermediate,Not Verified,7,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,269b6dde48e247689505eea3,95933a65fb0c4904859a7293
341d25a47e0245e48a9396f9,66129482addf941b98f24d32,660f878aa2c1cc29e41e17f7,,advanced,Verified,65,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,c25435b15d1140e69337468d,a8fca608180f4e65b07a3247
f0d382925d644667a0466e67,66129471addf941b98f24c2e,660f87e4a2c1cc29e41e1803,b445e6f04c1641258d6cad23,intermediate,Not Verified,11,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,8420451878e84bf0880704e1,04b034b9c16540349f5e0e0a
b9fe18ae58bd4607b14a9ade,660c44e1031dafee85d11d05,660f87eea2c1cc29e41e1809,35a379c69a6e45feb81722f2,intermediate,Not Verified,60,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,575e312f579940eb857f6309,017d819ab84d4517b7a4a827
7730e11a657d48198fe6ec91,66129481addf941b98f24d25,660f87fda2c1cc29e41e180f,6dbad0bfb5104cbcbe54f7fe,advanced,Verified,18,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,ce98f52c75e247409d2d62a5,e229cfa84fb3449a9174d145
4b7c730c201242b8a6ad04e2,6612946daddf941b98f24bf3,660f8803a2c1cc29e41e1812,,advanced,Verified,14,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,82c59ceebd7e444a85e6cf67,c4a9e9a57927479ebf805e56
1214fb5795c84e8984b3b3f3,66129480addf941b98f24d1f,660f879ca2c1cc29e41e17fd,1d5dfea7342640ba8a91b1dc,intermediate,Verified,6,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,8ea8e2178977468ba8b58134,d6f156000ea74e868d6f66f2
638c03a8f31d4a308d3c1c12,6612946eaddf941b98f24c05,660f87f5a2c1cc29e41e180c,cb1d43e39895428dad696778,advanced,Verified,98,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,db577fe6a88149b6a7019cff,89be2e43fbb04f5281549a8c
a920f78c66844b8bb08d50d6,66129487addf941b98f24d8b,660f8781a2c1cc29e41e17f4,de480d62876f4092b17b87c4,advanced,Not Verified,37,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,510a7279f3e749b5a733c400,6ac04ccc6c2245d9a03e4cd6
98d723628253461e88a92242,66129487addf941b98f24d7d,660f87f5a2c1cc29e41e180c,,intermediate,Not Verified,53,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,9eb2d22f07224281a5d75969,acc33fa98ae94414aa821d79
54183ff0ca414ebc9f84a88b,66129471addf941b98f24c30,660f8811a2c1cc29e41e181b,d349cf2a6b664e49970a746a,beginner,Not Verified,18,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,f1bf320df4c942b1a26a9959,1c4f08e35a8241a8b88985ae
81bac3db0e9b40f1a61f7f56,6612947aaddf941b98f24cb4,660f8794a2c1cc29e41e17fa,853e4e03ad6444f1b7a1f848,intermediate,Not Verified,77,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,530c6a2652614330b5d95d06,681029742f334e098b5ec216
f8d3a04de5c74f7c9d263983,66129472addf941b98f24c38,660f8811a2c1cc29e41e181b,,beginner,Verified,68,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,22ae38ab8c284a0bb97a3fb4,34e6e606c62347bdbe110f31
f7992ae11863454ca200ec77,66129473addf941b98f24c54,660f87e9a2c1cc29e41e1806,a38b39bd647548b096e74470,intermediate,Not Verified,7,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,39a808a76b9d4b2ab2570b61
48628834dcd3491dae7adc50,66129486addf941b98f24d70,660f881ca2c1cc29e41e1821,,intermediate,Not Verified,52,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,2403f00c810749b082502ead
d7fa4b515c894d3cbfb80697,6612947daddf941b98f24ce2,660f8821a2c1cc29e41e1824,9aabf159ebd54368815a2871,advanced,Verified,16,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,794cad38bffb489eb1869af2
1cd2d804f75649a48658e0e6,66129484addf941b98f24d4f,660f87e4a2c1cc29e41e1803,c48393a9f069446dac4f3834,beginner,Verified,42,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,29fe078499254f608a2ed942
b7ddcbf4dfa34e009fcbcd24,66129485addf941b98f24d68,660f87fda2c1cc29e41e180f,e7b3b89acd05474d9f1c29e9,advanced,Not Verified,97,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,bc6b2132fbc645cca35765ec
869ff017a66140cdb4a69e64,66129476addf941b98f24c75,660f8821a2c1cc29e41e1824,abe34a47db4f41ac981f7da4,intermediate,Verified,8,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,12b3ca8e25fa4a03b3b10f6b
edbcb20186f04062b1876352,66129483addf941b98f24d4d,660f880ba2c1cc29e41e1818,bf7595785fed4c599aa63672,advanced,Not Verified,30,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,c16c77b23eaf4efd80ff4915,d015fc57d9a049e09c165935
1907420c209c498786a9a94d,66129473addf941b98f24c53,660f8794a2c1cc29e41e17fa,129d8971e9ff433e917c9519,intermediate,Not Verified,72,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,cf6494dd1624494a8bec0b65,c3a8f0a234d54768b3e8cc83
92fd95b0640d450a881418ff,6612947daddf941b98f24cea,660f8781a2c1cc29e41e17f4,,intermediate,Not Verified,21,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,e15bcd992a944888a0302a2d,768503fc514c45c3a59e65f0
8f57ce66780640f2ad5af9b0,6612947caddf941b98f24ce1,660f8821a2c1cc29e41e1824,47eda31fc9f441fa919b2bbe,advanced,Not Verified,36,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,8a6426f14b8a45e69f463996,f65626071cf742768682af9a
d8b6bc705fb6450590e751c7,6612946eaddf941b98f24c04,660f8817a2c1cc29e41e181e,5eadfe6da793479d95b6f92f,beginner,Verified,79,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,f2007f1539c14883a9525f7c,06c0f473518c4731bd885cbe
830ac0f1eaf7470599951636,66129479addf941b98f24cae,660f880ba2c1cc29e41e1818,7b5c7c5d40284791bc588811,advanced,Verified,87,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,54944c596a804bee95adc64a,c639dc7d1b334485bc96776a
55f0e567211b4caea653c772,6612947caddf941b98f24cd5,660f8781a2c1cc29e41e17f4,3cacede5455c476d8acf82d0,intermediate,Verified,25,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,94498ca6ab974262a542bb16,2b6c640af3de4b828b40606c
f5da64aafad44c72b037e7da,6612947baddf941b98f24ccf,660f878aa2c1cc29e41e17f7,f3e7dc795a89472dbb8cc2f6,advanced,Not Verified,25,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,b3b921ce7fa1425da72c9122,33c2c2161eb94631a9294098
51b4c40916134277827204d8,66129486addf941b98f24d6d,660f87fda2c1cc29e41e180f,3b0eaf4b12f5489e85a12d15,advanced,Not Verified,65,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,100091b45fb04dc8843e6a74
e6a75e27791e40798ee4c59f,6612946faddf941b98f24c09,660f8821a2c1cc29e41e1824,842a548c2d0e4e54b2838a8a,beginner,Verified,31,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,91cd61152b15485eb2a8063e,f05fadae35b147d69c01ce6c
50322e11139142d187a1771a,66129480addf941b98f24d1a,660f87e4a2c1cc29e41e1803,781979ebff60485cb779da85,intermediate,Verified,44,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,1cdb613088b3442292b66b7f,d4556acb39b3434d94f21ee8
9a65cf08d9d54fbebe9dc2d2,66129477addf941b98f24c92,660f8807a2c1cc29e41e1815,,intermediate,Not Verified,16,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,f57c4874ac634c9793972e05,2d3a1a65ce4b400f8064da00
94ff1dbb9b7040c9b8c4e4b6,6612946baddf941b98f24bd1,660f87fda2c1cc29e41e180f,,advanced,Verified,14,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,55b9fb165a144056bc028422,a5147091c6b540998314b78a
617c0a40e76344db90ca1d60,66129484addf941b98f24d52,660f881ca2c1cc29e41e1821,ca16b6eebdb543b3875ed588,beginner,Not Verified,37,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,3cbb93e91de5488db371f2cb,c16296ab28c6463da1286444
b9f769acf32a411fb07c294d,6612946eaddf941b98f24bf6,660f87eea2c1cc29e41e1809,602be48c4db34951af9f0341,intermediate,Not Verified,94,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,ae27b2c567af465d9ece96fb,b292b6dd827948159bcba6d4
8a48235078784060a000f4d4,66129472addf941b98f24c3b,660f8821a2c1cc29e41e1824,977843838dae426ea365c0ce,intermediate,Verified,7,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,07786da587d142e7975e26b2,51b72ef687e74f8b888d4b4a
574263389d534958bd5371e1,66129481addf941b98f24d23,660f8803a2c1cc29e41e1812,0a2e63d12c0d418b968cc391,beginner,Not Verified,96,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,750b4ee83977410bbd6030bc,6c919c3dffff43049344705b
cf4b0b5ac87b4294a4065c4b,66129489addf941b98f24d9d,660f8817a2c1cc29e41e181e,1061243c2efb4b67965159b8,beginner,Not Verified,7,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,b62bf5a2a75b4a23baae126f,3e4b283374ff4d87af24f889
43aa39a7f48a4152975ab69e,66129484addf941b98f24d5c,660f8817a2c1cc29e41e181e,e3c1a96413e748399bf6c941,beginner,Not Verified,97,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,d1e4182cc230487ba0bb5ae6,17295efacf2b4b938d754456
2db2a5a8d27a48aaa0087e81,6612947daddf941b98f24ce4,660f878aa2c1cc29e41e17f7,40f70ab03e5742edb883fedb,intermediate,Verified,45,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,3c6ef4c792d941e3b32d0f01
f1da1eb16e6d40a8b23a042c,6612948aaddf941b98f24db6,660f87eea2c1cc29e41e1809,cb1fa0e3fe1f4691b797ca3d,intermediate,Verified,28,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,9129ddd80bc44a14bf4e5605
791524fb23494038a4a893fc,66129479addf941b98f24ca6,660f87e4a2c1cc29e41e1803,9241dd069375422284f2c5c9,intermediate,Verified,51,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,e02abf99ca5b4d0b9481f17e
a181ce5fa4bb4258bfcc19ee,6612947daddf941b98f24ced,660f87e9a2c1cc29e41e1806,983154bb9b284fb5b5200d8f,intermediate,Verified,10,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,560232d1b7a04f46907ac0c4,f824e8339d18419f94f08b41
363a9af266324530be80b213,66129470addf941b98f24c17,660f8803a2c1cc29e41e1812,d4edfa0524e243b5ac1d45b6,beginner,Verified,33,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,dd11a9225c024af896355333,9429dd4511344024ab154ff1
95676d68762044f8a552ad8d,6612948aaddf941b98f24dac,660f8821a2c1cc29e41e1824,5da4aa2112214314a825f11f,beginner,Verified,76,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,,09efaa670da54e67a655327b
8de18964eadf4e5291b367f9,66129473addf941b98f24c4c,660f880ba2c1cc29e41e1818,a38b39bd647548b096e74470,advanced,Verified,46,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,c7ca9897f34245218e3a8d82,191c525eb2c94b02adafc35f
f73e8227913043419b308e68,66129486addf941b98f24d74,660f87eea2c1cc29e41e1809,,advanced,Not Verified,3,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,8a877ad066eb452ca463f2e7,06d1be9a3de042ec98ec2bb5
713a03a6b0144a9d84af65b7,6612946caddf941b98f24bdd,660f8803a2c1cc29e41e1812,15ead34a86e044b2b13e5fe6,intermediate,Not Verified,85,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,0750c1b69f7c4ff0bed1c8b4,5f93463baec14f089fa3dc92
50af19a0115c442d8424d5c3,6612946daddf941b98f24bf2,660f8811a2c1cc29e41e181b,9d5c4a274caf4d539d1dacd3,advanced,Verified,68,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,9fd4f30f0ee04b47be59ed77,c0f1a9e598fe46b782904005
9790424c3d054307abb560cf,66129483addf941b98f24d4b,660f8781a2c1cc29e41e17f4,9df9c6f166084f47af8eedc5,advanced,Not Verified,92,2024-04-07T12:43:16.310100Z,2024-04-07T12:43:16.310100Z,d51590a839664903afe48a29,1049c5088bd345d592453ed1
